PDF,1_1_product_name,1_3_producer_of_sds_company_name,1_3_email,2_2_hazard_statements,revision_date
pbx51-eghs-en.pdf.pdf,PBXÒ 51 Carbon Black,,SDS@cabotcorp.com,Section 2 had no codes.,29.01.2018
337e0b80472d97e5af95ed14e41733f3.pdf.pdf,Масло Gazpromneft Turbine Oil-32,"“Gazpromneft – lubricants”, Ltd",sds@reachlaw.fi,EUH210,01.06.2015
A123%20MSDS%204-17-13.pdf.pdf,"High Power Lithium Ion Cell, Phosphate-Based",A123 Systems,,Section 2 had no codes.,17.04.2013
lithiumionbattery.pdf.pdf,"High Power Lithium Ion Cell, Phosphate-Based",A123 Systems,,Section 2 had no codes.,17.04.2013
MSDS-Prevo-Check_LFT-001-GB_D-Rev3.pdf.pdf,ADR/RID,Abviris Deutschland GmbH ,info@abviris.de,,
MSDS_Valbruna.pdf.pdf,Stainless steel ,Acciaierie Valbruna S.p.a.,ambiente@valbruna.it,Section 2 had no codes.,
-827577880.pdf,CLFCLEANER250,Adam Hall GmbH,,Section 2 had no codes.,
Neutralene%207030SF%20SDS(1).pdf.pdf,Neutralene 7030SF,"Air Care Technology, LLC.",,"H317,H361,H361.,H412,H412.,P201,P202,P261,P280,P302+P352,P308+P313,P308+P313.,P333+P313,P363,P501",08.02.2016
akSafetyDataSheetFP1487001KT.3.pdf.pdf,Opal 520 Reagent,"Akoya Biosciences, Inc.",,"H302,H315,H319,H335,P261,P280,P301+P312,P304+P340,P305+P351+P338,P501",
akpa-kimya-akdry-zn-octoate-8--30699358-msds.pdf.pdf,ZINC OCTOATE,AKPA KİMYA AMBALAJ SANAYİ VE TİCARET ANONİM,info@akpakimya.com,"H226,H304,H315,H336,H361d,H411,P210,P273,P280,P301+P310,P302+P352,P304+P340,P405,P501",27.12.2016
UK_Zamide-Flo_SDS.pdf.pdf,Zamide Flo ,Albaugh Europe Sàrl ,sds@albaugh.eu,"H351,H400,H410,P202,P280,P308+P313,P391,P501,EUH401",08.10.2013
LUMINOX%20114013%20SDS.pdf.pdf,Luminox,"Alconox, Inc.",,"H315,H319,P264,P280,P302+P352,P305+P351+P338,P332+P313,P501",12.10.2015
112887_SD_EN.pdf.pdf,ALKO Rasenm?her?l SAE 30,AL-KO GERÄTE GmbH,garten.hobby@al-ko.de,Section 2 had no codes.,29.07.2011
ASACOL-HD-(Mesalamine)-SDS.pdf.pdf,"ASACOL HD (Mesalamine) TABLET, DELAYED RELEASE",Allergan,SDS@Allergan.com,Section 2 had no codes.,29.11.2013
Propylene-Glycol-SDS.pdf.pdf,PROPYLENE GLYCOL INDUSTRIAL,"Allied Rubber & Gasket Company, Inc. - ARGCO",,Section 2 not found in PDF.,
7375.pdf.pdf,EAU DE COLOGNE AROMAS DE CASTILLA,"ANTONIO PUIG, S.A",,,
SDS020-1473-Ethyl-Acetate-v7.1-2016.02.17.pdf.pdf,ETHYL ACETATE ,Apacor Limited,technical@apacor.com,"H225,H319,H336,P210,P261,P303+P361+P353,P304+P340,P305+P351+P338,P501,EUH066",
9940%20Light%20Oil.pdf.pdf,Light Oil ,ArcelorMittal Dofasco G.P.,,Section 2 not found in PDF.,
sds_-_s-hec_hydroxyethylcellulose.pdf.pdf,Natrosol S-HEC ,Ashland,EHSProductSafety@ashland.com,Section 2 had no codes.,25.07.2018
GF_Compound%20Fertilizer%20(15.15.15).pdf.pdf,Compound Fertilizer (15.15.15) ,BAGFAŞ - Bandırma Gübre Fabrikaları A.Ş. ,info@bagfas.com.tr,Section 2 had no codes.,
MSDS%20RNA%20Isolation%20Kit%20RIK001%20ENG.pdf.pdf,RNA Isolation Kit ,BioVendor - Laboratorní medicína a.s. ,info@biovendor.com,"H225,H226,H302,H314,H315,H317,H319,H334,H335,H351,H411,H412,P201,P261,P280,P342+P311,EUH019,EUH031,EUH066",12.12.2017
DOC32448.pdf.pdf,"Other product names may occur at our distributors, please contact us for",BJÖRNAX AB,info@bjornax.se,"H319,H412,P210,P273,P280",
MSDS-Bjornax-2020-Smokepen-Refill-2020.pdf.pdf,"SMOKE PEN, REFILL",BJÖRNAX AB,info@bjornax.se,Section 2 had no codes.,
Bacillocid%20Special-msds.pdf.pdf,Bacillocid Spezial ,Bode Chemi GmbH,KundenService-SiDa@bode-chemie.de,Section 2 had no codes.,05.02.2014
Art_130520_Sterillium_med_Safety_Data_Sheet.PDF.pdf,Sterillium med ,BODE Chemie GmbH ,Kundenservice@SIDA-BODE-CHEMIE.de,"H225,H319,P102,P210,P233,P301+P310,P305+P351+P338,P337+P313,P501",
vb001_gb.pdf.pdf,Bismuth,Boliden Bergsøe A/S,metal.glostrup@boliden.com,Section 2 had no codes.,
SFS-MSDS.pdf.pdf,BRUGGOLITE E01,"BrüggemannChemical, L. Brüggemann KG",info@brueggemann.com,"H341,H361d,P201,P202,P281,P308+P313,P405,P501,EUH032",24.02.2016
12993%20SDS%20Hardener_GB.pdf.pdf,Hardener,Chamäleon GmbH,,"H226,H317,H335,H336,P210,P241,P261,P280,P303+P361+P353,P405,EUH066,EUH204",19.11.2019
SDS-AGG01.pdf.pdf,Finixa Steinschlagschutz lackierbar 1L - grau,chemicar,info@chemicar.eu,,
00654-04-EU-SDS.pdf.pdf,pH 7.00 Buffer,Cole-ParmerÔ,info@coleparmer.com,"P202,EUH210",
collano_haerter_hr_910_s_en.pdf.pdf,Collano Hardener HR 910,Collano AG,sdb@collano.com,"H315,H317,H318,H332,H335,H412,P261,P264,P271,P272,P273,P280,P302+P352,P305+P351+P338,P333+P313,P403+P233",
ColteneParaPostCementCatalystSDS.pdf.pdf,ParaPost Cement Catalyst,Coltène/Whaledent AG,info.ch@coltene.com,Section 2 had no codes.,14.06.2012
